glue_weight,item_id,x1_dist,x2_dist,y1_dist,y2_dist,station_id,time
7.7085147,7147,2.0201771,2.0438809,1.9058241,1.9795246,1,3577
8.1785851,7150,2.0376678,1.9198565,1.9996755,2.0999308,0,3577
8.0843916,14307,1.9012471,2.0098014,1.9485439,2.0925577,-1,3577
7.6716499,14310,2.0207908,2.0986362,1.987309,1.9789182,-1,3578
7.7085147,7147,2.0201771,2.0438809,1.9058241,1.9795246,2,3578
8.1785851,7150,2.0376678,1.9198565,1.9996755,2.0999308,1,3578
8.0571165,7151,1.9643847,2.0905092,1.9091939,2.0489464,0,3578
8.1914616,14311,2.0032048,1.9434488,1.987321,2.0441086,-1,3578
7.9852805,14314,1.9784482,1.9937797,2.068305,1.9983742,-1,3579
8.1785851,7150,2.0376678,1.9198565,1.9996755,2.0999308,2,3579
8.0571165,7151,1.9643847,2.0905092,1.9091939,2.0489464,1,3579
8.2770538,7154,2.0119905,2.0593522,2.0149715,2.0063519,0,3579
7.6838441,14315,2.0933418,2.0749879,1.9604189,1.9017814,-1,3579
7.9973288,14318,1.9426999,1.9535258,1.9048017,2.0662134,-1,3580
8.0571165,7151,1.9643847,2.0905092,1.9091939,2.0489464,2,3580
8.2770538,7154,2.0119905,2.0593522,2.0149715,2.0063519,1,3580
7.6362529,7155,2.0431135,1.9713522,1.9743696,2.0303311,0,3580
8.1400375,14319,2.0328517,1.9178194,1.9516494,2.022505,-1,3580
8.0029764,14322,2.0285153,1.9119704,2.0817971,2.0792241,-1,3581
8.2770538,7154,2.0119905,2.0593522,2.0149715,2.0063519,2,3581
7.6362529,7155,2.0431135,1.9713522,1.9743696,2.0303311,1,3581
7.8828712,7158,2.0096583,1.9200611,1.9316952,2.0424805,0,3581
8.0394249,14323,1.9314108,2.0580859,2.0371742,1.9156715,-1,3581
7.8951631,14326,2.0021875,1.9387412,1.9488103,2.0439465,-1,3582
7.6362529,7155,2.0431135,1.9713522,1.9743696,2.0303311,2,3582
7.8828712,7158,2.0096583,1.9200611,1.9316952,2.0424805,1,3582
7.8999572,7159,2.0503769,1.9356885,2.0833287,2.0202897,0,3582
8.0158491,14327,1.9303874,1.9167471,2.0884519,1.923324,-1,3582
7.9406447,14330,2.0182054,1.9493058,2.0339615,1.9737041,-1,3583
7.8828712,7158,2.0096583,1.9200611,1.9316952,2.0424805,2,3583
7.8999572,7159,2.0503769,1.9356885,2.0833287,2.0202897,1,3583
7.8906813,7162,1.934788,1.9576913,2.0894237,2.098264,0,3583
7.8959298,14331,2.0173671,1.9071373,1.9094743,2.0798681,-1,3583
8.0153093,14334,1.9181596,2.0121391,2.0879633,1.9213922,-1,3584
7.8999572,7159,2.0503769,1.9356885,2.0833287,2.0202897,2,3584
7.8906813,7162,1.934788,1.9576913,2.0894237,2.098264,1,3584
8.1027546,7163,1.9087225,2.0346475,2.0883145,2.0172303,0,3584
8.0780907,14335,1.9149331,1.9486357,2.0203497,1.9823865,-1,3584
7.7968321,14338,2.0707533,2.0810289,1.9910151,2.0952561,-1,3585
7.8906813,7162,1.934788,1.9576913,2.0894237,2.098264,2,3585
8.1027546,7163,1.9087225,2.0346475,2.0883145,2.0172303,1,3585
7.8581281,7166,2.00265,2.0455346,2.0297546,2.0784628,0,3585
8.0374832,14339,2.0625987,1.9310207,1.9721696,2.0177281,-1,3585
7.8194184,14342,1.9839431,1.9561542,2.0275745,2.0458627,-1,3586
8.1027546,7163,1.9087225,2.0346475,2.0883145,2.0172303,2,3586
7.8581281,7166,2.00265,2.0455346,2.0297546,2.0784628,1,3586
7.8741527,7167,2.0077453,2.0857856,2.0655332,2.0489779,0,3586
8.2556906,14343,2.0986297,2.0133238,1.9953756,1.9461744,-1,3586
8.0668926,14346,2.0913382,2.072535,2.0080411,2.0491612,-1,3587
7.8581281,7166,2.00265,2.0455346,2.0297546,2.0784628,2,3587
7.8741527,7167,2.0077453,2.0857856,2.0655332,2.0489779,1,3587
7.9777622,7170,1.9738116,1.9757876,2.0510731,2.0119398,0,3587
7.8561964,14347,2.0563943,1.9349922,2.055316,1.971122,-1,3587
